Metadata_Plate,Metadata_Well,assay_type,food_conc_OD,food_type,diluent,diluent_concentration_perc,drug,concentration_um,drug_stock_prep_date,drug_prep_method,strain,bleach,well_censor,well_censor_reason,notes
p002,H02,48h,10,15hHB101_20200813,DMSO,1,doramectin,0.012,20200805,serial; see notes,CX11314,1,,,
p002,H03,48h,10,15hHB101_20200813,DMSO,1,doramectin,0.012,20200805,serial; see notes,PD1074,1,,,
p002,H04,48h,10,15hHB101_20200813,DMSO,1,doramectin,0.012,20200805,serial; see notes,CB4856,1,,,
p002,H05,48h,10,15hHB101_20200813,DMSO,1,doramectin,0.012,20200805,serial; see notes,MY16,1,,,
p002,H06,48h,10,15hHB101_20200813,DMSO,1,doramectin,0.012,20200805,serial; see notes,DL238,1,,,
p002,H07,48h,10,15hHB101_20200813,DMSO,1,doramectin,0.012,20200805,serial; see notes,JU775,1,,,
p002,H08,48h,10,15hHB101_20200813,DMSO,1,doramectin,0.012,20200805,serial; see notes,CX11314,1,,,
p002,H09,48h,10,15hHB101_20200813,DMSO,1,doramectin,0.012,20200805,serial; see notes,PD1074,1,,,
p002,H11,48h,10,15hHB101_20200813,DMSO,1,doramectin,0.012,20200805,serial; see notes,MY16,1,,,
p002,H12,48h,10,15hHB101_20200813,DMSO,1,doramectin,0.012,20200805,serial; see notes,DL238,1,,,
p003,A01,48h,10,15hHB101_20200813,DMSO,1,doramectin,0,20200805,serial; see notes,DL238,2,,,
p003,A02,48h,10,15hHB101_20200813,DMSO,1,doramectin,0,20200805,serial; see notes,MY16,2,,,
p003,A03,48h,10,15hHB101_20200813,DMSO,1,doramectin,0,20200805,serial; see notes,CB4856,2,,,
p003,A04,48h,10,15hHB101_20200813,DMSO,1,doramectin,0,20200805,serial; see notes,PD1074,2,,,
p003,A05,48h,10,15hHB101_20200813,DMSO,1,doramectin,0,20200805,serial; see notes,CX11314,2,,,
p003,A06,48h,10,15hHB101_20200813,DMSO,1,doramectin,0,20200805,serial; see notes,JU775,2,,,
p003,A07,48h,10,15hHB101_20200813,DMSO,1,doramectin,0,20200805,serial; see notes,DL238,2,,,
p003,A08,48h,10,15hHB101_20200813,DMSO,1,doramectin,0,20200805,serial; see notes,MY16,2,,,
p003,A09,48h,10,15hHB101_20200813,DMSO,1,doramectin,0,20200805,serial; see notes,CB4856,2,,,
p003,A10,48h,10,15hHB101_20200813,DMSO,1,doramectin,0,20200805,serial; see notes,PD1074,2,,,
p003,A11,48h,10,15hHB101_20200813,DMSO,1,doramectin,0,20200805,serial; see notes,CX11314,2,,,
p003,A12,48h,10,15hHB101_20200813,DMSO,1,doramectin,0,20200805,serial; see notes,JU775,2,,,
p003,B01,48h,10,15hHB101_20200813,DMSO,1,doramectin,0.00105,20200805,serial; see notes,DL238,2,,,
p003,B02,48h,10,15hHB101_20200813,DMSO,1,doramectin,0.00105,20200805,serial; see notes,MY16,2,,,
p003,B03,48h,10,15hHB101_20200813,DMSO,1,doramectin,0.00105,20200805,serial; see notes,CB4856,2,,,
p003,B04,48h,10,15hHB101_20200813,DMSO,1,doramectin,0.00105,20200805,serial; see notes,PD1074,2,,,
p003,B05,48h,10,15hHB101_20200813,DMSO,1,doramectin,0.00105,20200805,serial; see notes,CX11314,2,,,
p003,B06,48h,10,15hHB101_20200813,DMSO,1,doramectin,0.00105,20200805,serial; see notes,JU775,2,,,
p003,B07,48h,10,15hHB101_20200813,DMSO,1,doramectin,0.00105,20200805,serial; see notes,DL238,2,,,
p003,B08,48h,10,15hHB101_20200813,DMSO,1,doramectin,0.00105,20200805,serial; see notes,MY16,2,,,
p003,B09,48h,10,15hHB101_20200813,DMSO,1,doramectin,0.00105,20200805,serial; see notes,CB4856,2,,,
p003,B10,48h,10,15hHB101_20200813,DMSO,1,doramectin,0.00105,20200805,serial; see notes,PD1074,2,,,
p003,B11,48h,10,15hHB101_20200813,DMSO,1,doramectin,0.00105,20200805,serial; see notes,CX11314,2,,,
p003,B12,48h,10,15hHB101_20200813,DMSO,1,doramectin,0.00105,20200805,serial; see notes,JU775,2,,,
p003,C01,48h,10,15hHB101_20200813,DMSO,1,doramectin,0.00158,20200805,serial; see notes,DL238,2,,,
p003,C02,48h,10,15hHB101_20200813,DMSO,1,doramectin,0.00158,20200805,serial; see notes,MY16,2,,,
p003,C03,48h,10,15hHB101_20200813,DMSO,1,doramectin,0.00158,20200805,serial; see notes,CB4856,2,,,
p003,C04,48h,10,15hHB101_20200813,DMSO,1,doramectin,0.00158,20200805,serial; see notes,PD1074,2,,,
