Anthelmintic,strain1,strain2,Relative.Potency.Estimate,SE,t.value,p.value,p...0.05
Pyrantel citrate,CB4856,DL238,1.29992315372523,0.0913605301923733,3.28285259612322,0.001059,T
Pyrantel citrate,CB4856,JU775,1.22231398095962,0.0921565522329633,2.41235132579208,0.01601,T
Pyrantel citrate,CB4856,MY16,1.96820724932811,0.145469202871756,6.65575414049442,<< 0.00001,T
Pyrantel citrate,CB4856,N2,1.07632529191149,0.0755223944993001,1.01063124941307,0.312411,F
Pyrantel citrate,CX11314,DL238,0.953151887249994,0.0652443542962083,-0.718040867372466,0.472882,F
Pyrantel citrate,CX11314,JU775,0.896245962251685,0.0667471957303132,-1.55443291082258,0.120364,F
Pyrantel citrate,CX11314,MY16,1.44316258143422,0.103390723598866,4.28628958197058,0.00002,T
Pyrantel citrate,CX11314,N2,0.789201638835639,0.0541822876579037,-3.8905400690222,0.000106,T
Pyrantel citrate,DL238,JU775,0.940297107145754,0.0624706548684713,-0.955695005598192,0.339433,F
Pyrantel citrate,DL238,MY16,1.51409507838041,0.0957242360115712,5.37058429297122,<< 0.00001,T
Pyrantel citrate,DL238,N2,0.827991476901567,0.0494089229720263,-3.48132508769354,0.000518,T
Pyrantel citrate,JU775,MY16,1.610230497227,0.112141628942188,5.44160543219491,<< 0.00001,T
Pyrantel citrate,JU775,N2,0.880563675682161,0.0587139068079958,-2.0342084322274,0.042166,T
Pyrantel citrate,MY16,N2,0.546855668923544,0.0347866711556952,-13.0263780931585,<< 0.00001,T
Eprinomectin,CB4856,CX11314,0.993758121831795,0.10840495976973,-0.0575792674197132,0.954093,F
Eprinomectin,CB4856,DL238,0.557075801406923,0.0710535155447052,-6.23367042710785,<< 0.00001,T
Eprinomectin,CB4856,JU775,0.878905867092884,0.097423187787237,-1.242970340609,0.214113,F
Eprinomectin,CB4856,MY16,1.11868249483563,0.117887264217621,1.0067456872741,0.314253,F
Eprinomectin,CB4856,N2,0.809600404892483,0.0959324272745084,-1.9847261298069,0.047395,T
Eprinomectin,CX11314,DL238,0.560574841270293,0.0614696947651534,-7.14864715708354,<< 0.00001,T
Eprinomectin,CX11314,JU775,0.884426348609656,0.0884098991195618,-1.30724785958694,0.191371,F
Eprinomectin,CX11314,MY16,1.12570903347543,0.105547509524052,1.19101847160862,0.233874,F
Eprinomectin,CX11314,N2,0.814685572984446,0.0905245021848956,-2.04711898483629,0.040856,T
Eprinomectin,DL238,JU775,1.57771323915554,0.182930916703447,3.15809514086719,0.001626,T
Eprinomectin,DL238,MY16,2.00813334919654,0.221971660880026,4.54172098005533,0.000006,T
Eprinomectin,DL238,N2,1.45330384634873,0.191510927003202,2.36698685261521,0.018086,T
Eprinomectin,JU775,MY16,1.27281263753062,0.123062174734791,2.21686832788835,0.026813,T
Eprinomectin,JU775,N2,0.921145750875871,0.103459096351423,-0.762178019188202,0.446098,F
Eprinomectin,MY16,N2,0.723708834839181,0.0774469820210184,-3.56748782135676,0.000374,T
Selamectin,CB4856,CX11314,1.22149007129935,0.172496377119936,1.28402738073362,0.199316,F
Selamectin,CB4856,DL238,0.866305555353574,0.120925732174954,-1.10559135960407,0.269068,F
Selamectin,CB4856,JU775,0.847502973383079,0.130466014743692,-1.16886399049216,0.242631,F
Selamectin,CB4856,MY16,1.8213446891146,0.243617957240394,3.37144559628715,0.000765,T
Selamectin,CB4856,N2,0.80840346023146,0.119921410253213,-1.59768417802947,0.110308,F
Selamectin,CX11314,DL238,0.709220300441778,0.0879347081488693,-3.30676823383487,0.000964,T
Selamectin,CX11314,JU775,0.693827148739371,0.0983014318079144,-3.11463267248136,0.001874,T
Selamectin,CX11314,MY16,1.49108431735115,0.179614747476653,2.73409797497271,0.006323,T
Selamectin,CX11314,N2,0.661817463134618,0.089187171593419,-3.79182937213288,0.000155,T
Selamectin,DL238,JU775,0.978295669634924,0.135682527568988,-0.15996407757101,0.872929,F
Selamectin,DL238,MY16,2.10242757634312,0.250381578483925,4.40298996043714,0.000011,T
Selamectin,DL238,N2,0.933162041078587,0.120513022307885,-0.554611921943644,0.579237,F
Selamectin,JU775,MY16,2.14907173935228,0.290653023528257,3.95341402406077,0.00008,T
Selamectin,JU775,N2,0.953865043097676,0.141308614450873,-0.326483683118715,0.744101,F
Selamectin,MY16,N2,0.443849791345341,0.0573152624547646,-9.70335273424934,<< 0.00001,T
Fenbendazole,CB4856,CX11314,0.580663060765742,0.0353918691115952,-11.8483976619611,<< 0.00001,T
Fenbendazole,CB4856,DL238,0.834987483367907,0.0482156816275264,-3.42238274067844,0.000636,T
Fenbendazole,CB4856,JU775,0.763159699589541,0.0445274818836213,-5.31896910383284,<< 0.00001,T
Fenbendazole,CB4856,MY16,0.24384581612655,0.0187711389008258,-40.2828079781662,<< 0.00001,T
Fenbendazole,CB4856,N2,0.873404917752441,0.0499386254551593,-2.53501335076254,0.011335,T
Fenbendazole,CX11314,DL238,1.43798967040676,0.0833222002437881,5.25657830836516,<< 0.00001,T
Fenbendazole,CX11314,JU775,1.31429007828246,0.0766848076137214,4.09846602035715,0.000044,T
Fenbendazole,CX11314,MY16,0.419943737776226,0.0322952271815673,-17.9610522311125,<< 0.00001,T
Fenbendazole,CX11314,N2,1.50415099007788,0.0861711553705462,5.85057712073103,<< 0.00001,T
Fenbendazole,DL238,JU775,0.913977412585097,0.0504613806434054,-1.70472124064138,0.088433,F
Fenbendazole,DL238,MY16,0.292035295119637,0.0218312264537419,-32.4289936884887,<< 0.00001,T
Fenbendazole,DL238,N2,1.04600959313735,0.0564869285789361,0.814517522811513,0.415465,F
Fenbendazole,JU775,MY16,0.319521348228555,0.0239607909189678,-28.3996740371689,<< 0.00001,T
Fenbendazole,JU775,N2,1.14445890974352,0.0624134277353826,2.31454856727294,0.020759,T
